Posicao,Time,PTS,J,V,E,D,GP,GC,SG
1,Cruzeiro,76,38,23,7,8,77,37,40
2,Grêmio,65,38,18,11,9,42,35,7
3,Atlético Paranaense,64,38,18,10,10,65,49,16
4,Botafogo,61,38,17,10,11,55,41,14
5,Vitória,59,38,16,11,11,59,53,6
6,Goiás,59,38,16,11,11,48,44,4
7,Santos,57,38,15,12,11,51,38,13
8,Atlético Mineiro,57,38,15,12,11,49,38,11
9,São Paulo,50,38,14,8,16,39,40,-1
10,Corinthians,50,38,11,17,10,27,22,5
11,Coritiba,48,38,12,12,14,42,45,-3
12,Bahia,48,38,12,12,14,37,45,-8
13,Internacional,48,38,11,15,12,51,52,-1
14,Criciúma,46,38,13,7,18,49,63,-14
15,Fluminense,46,38,12,10,16,43,47,-4
16,Flamengo,45,38,12,13,13,43,46,-3
17,Portuguesa,44,38,12,12,14,50,46,4
18,Vasco,44,38,11,11,16,50,61,-11
19,Ponte Preta,37,38,9,10,19,37,55,-18
20,Náutico,20,38,5,5,28,22,79,-57
